# SHEtoken WEI Baseline Data — 2025
# Women's Empowerment Index scores for 83 countries
# Global WEI 2025 (population-weighted average): 44.8
# Formula: WEI = (Empowerment x 0.25) + (Education x 0.20) + (Economic x 0.20) + (Health x 0.15) - (Crime x 0.20)
# All scores normalised 0-100. Generated: May 2026
# Full methodology: wei-index/methodology.md
# Data sources: data/sources.md
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,crime_penalty_score,wei_score,population_weight,ticker,year,verified,notes
1,Iceland,ISL,Europe,1,0.4,95,98,88,97,12,73.1,1.0,SHE-ISL,2025,false,
2,Norway,NOR,Europe,1,5.4,93,97,86,98,10,72.6,1.0,SHE-NOR,2025,false,
3,Finland,FIN,Europe,1,5.5,92,98,85,97,9,72.4,1.0,SHE-FIN,2025,false,
4,Sweden,SWE,Europe,1,10.4,91,97,87,97,11,71.9,1.0,SHE-SWE,2025,false,
5,Denmark,DNK,Europe,1,5.9,89,96,85,96,10,70.8,1.0,SHE-DNK,2025,false,
6,New Zealand,NZL,Oceania,1,5.1,88,97,83,96,14,69.6,1.0,SHE-NZL,2025,false,
7,Switzerland,CHE,Europe,1,8.7,83,96,82,97,11,68.7,1.0,SHE-CHE,2025,false,
8,Netherlands,NLD,Europe,1,17.5,84,96,82,97,13,68.6,1.0,SHE-NLD,2025,false,
9,Canada,CAN,N. America,1,38.2,85,97,80,96,15,68.1,1.0,SHE-CAN,2025,false,
10,Ireland,IRL,Europe,1,5.1,82,97,80,97,12,68.0,1.0,SHE-IRL,2025,false,
11,Germany,DEU,Europe,1,83.2,84,95,81,95,13,67.9,1.0,SHE-DEU,2025,false,
12,Belgium,BEL,Europe,1,11.5,80,96,80,96,14,66.8,1.0,SHE-BEL,2025,false,
13,Australia,AUS,Oceania,1,25.9,82,96,79,96,17,66.5,1.0,SHE-AUS,2025,false,
14,Austria,AUT,Europe,1,9.0,79,95,79,96,13,66.3,1.0,SHE-AUT,2025,false,
15,United Kingdom,GBR,Europe,1,67.0,79,96,78,95,17,65.4,1.0,SHE-GBR,2025,false,
16,France,FRA,Europe,1,67.4,78,95,78,95,16,65.1,1.0,SHE-FRA,2025,false,
17,Spain,ESP,Europe,1,47.4,76,96,76,95,15,64.7,1.0,SHE-ESP,2025,false,
18,Japan,JPN,Asia,1,125.7,68,97,71,98,8,63.7,1.0,SHE-JPN,2025,false,
19,Portugal,PRT,Europe,1,10.3,74,95,74,94,14,63.6,1.0,SHE-PRT,2025,false,
20,Israel,ISR,Middle East,1,9.3,72,96,74,95,16,63.0,1.0,SHE-ISR,2025,false,
21,United States,USA,N. America,1,331.0,77,96,73,93,22,62.6,1.0,SHE-USA,2025,false,
22,South Korea,KOR,Asia,1,51.7,65,97,68,97,12,61.4,1.0,SHE-KOR,2025,false,
23,Uruguay,URY,S. America,1,3.5,72,95,68,93,28,58.9,1.0,SHE-URY,2025,false,
24,China,CHN,Asia,2,1412.0,62,93,64,90,24,55.6,1.0,SHE-CHN,2025,false,
25,Ukraine,UKR,Europe,2,43.5,58,93,62,90,30,53.0,1.0,SHE-UKR,2025,false,
26,Vietnam,VNM,Asia,2,97.3,58,90,56,88,22,52.5,1.0,SHE-VNM,2025,false,
27,Russia,RUS,Europe,2,144.1,56,92,60,88,28,52.0,1.0,SHE-RUS,2025,false,
28,Philippines,PHL,Asia,2,111.0,65,91,58,82,34,51.5,1.0,SHE-PHL,2025,false,
29,Kazakhstan,KAZ,Central Asia,2,19.1,54,92,60,88,28,51.5,1.0,SHE-KAZ,2025,false,
30,Argentina,ARG,S. America,2,45.4,60,93,58,91,38,51.2,1.0,SHE-ARG,2025,false,
31,Thailand,THA,Asia,2,71.6,57,88,58,88,28,51.1,1.0,SHE-THA,2025,false,
32,Chile,CHL,S. America,2,19.1,58,92,57,90,36,50.6,1.0,SHE-CHL,2025,false,
33,Sri Lanka,LKA,Asia,2,22.2,56,92,52,85,28,50.0,1.0,SHE-LKA,2025,false,
34,Mongolia,MNG,Asia,2,3.3,55,91,52,84,38,47.4,1.0,SHE-MNG,2025,false,
35,Brazil,BRA,S. America,2,213.0,55,90,54,88,46,46.5,1.0,SHE-BRA,2025,false,
36,Rwanda,RWA,Africa,2,13.5,64,84,48,72,36,46.0,1.0,SHE-RWA,2025,false,
37,Colombia,COL,S. America,2,51.0,52,90,50,87,44,45.2,1.0,SHE-COL,2025,false,
38,Turkey,TUR,Europe/Asia,2,84.3,48,82,52,86,36,44.5,1.0,SHE-TUR,2025,false,
39,Tunisia,TUN,Africa,2,12.0,46,85,48,82,30,44.4,1.0,SHE-TUN,2025,false,
40,Bolivia,BOL,S. America,2,11.8,52,88,48,82,42,44.1,1.0,SHE-BOL,2025,false,
41,Peru,PER,S. America,2,32.9,50,88,48,82,42,43.6,1.0,SHE-PER,2025,false,
42,Botswana,BWA,Africa,2,2.6,56,87,52,74,48,43.3,1.0,SHE-BWA,2025,false,
43,Mexico,MEX,N. America,2,128.9,51,88,48,85,48,43.1,1.0,SHE-MEX,2025,false,
44,Namibia,NAM,Africa,2,2.6,58,88,50,76,52,43.1,1.0,SHE-NAM,2025,false,
45,Indonesia,IDN,Asia,2,273.5,44,82,48,78,32,42.3,1.0,SHE-IDN,2025,false,
46,Morocco,MAR,Africa,2,37.1,40,76,42,80,28,40.0,1.0,SHE-MAR,2025,false,
47,Ghana,GHA,Africa,2,32.4,45,82,42,70,38,39.0,1.0,SHE-GHA,2025,false,
48,Honduras,HND,C. America,2,10.3,48,85,46,80,56,39.0,1.0,SHE-HND,2025,false,
49,Kenya,KEN,Africa,2,54.0,48,80,44,68,42,38.6,1.0,SHE-KEN,2025,false,
50,South Africa,ZAF,Africa,2,60.0,56,85,50,78,72,38.3,1.0,SHE-ZAF,2025,false,
51,India,IND,Asia,2,1408.0,48,74,42,68,38,37.8,1.0,SHE-IND,2025,false,
52,Cambodia,KHM,Asia,3,16.7,32,74,38,72,34,34.4,0.8,SHE-KHM,2025,false,
53,Jordan,JOR,Middle East,3,10.2,24,80,30,80,28,34.4,0.8,SHE-JOR,2025,false,
54,Laos,LAO,Asia,3,7.3,32,72,36,70,30,34.1,0.8,SHE-LAO,2025,false,
55,Bangladesh,BGD,Asia,3,166.3,38,70,36,68,40,32.9,0.8,SHE-BGD,2025,false,
56,Myanmar,MMR,Asia,3,54.4,34,72,38,70,44,32.2,0.8,SHE-MMR,2025,false,
57,Nepal,NPL,Asia,3,29.7,36,68,34,66,36,32.1,0.8,SHE-NPL,2025,false,
58,Egypt,EGY,Middle East,3,102.3,24,70,32,74,32,31.1,0.8,SHE-EGY,2025,false,
59,Guatemala,GTM,C. America,3,17.1,34,70,36,74,52,30.4,0.8,SHE-GTM,2025,false,
60,Zimbabwe,ZWE,Africa,3,15.1,32,72,30,58,50,27.1,0.8,SHE-ZWE,2025,false,
61,Tanzania,TZA,Africa,3,61.5,30,64,32,58,46,26.2,0.8,SHE-TZA,2025,false,
62,Uganda,UGA,Africa,3,47.1,34,66,30,56,52,25.7,0.8,SHE-UGA,2025,false,
63,Zambia,ZMB,Africa,3,18.9,30,64,32,56,48,25.5,0.8,SHE-ZMB,2025,false,
64,Iraq,IRQ,Middle East,3,40.2,18,58,22,70,36,23.8,0.8,SHE-IRQ,2025,false,
65,Cameroon,CMR,Africa,3,27.2,28,60,28,52,44,23.6,0.8,SHE-CMR,2025,false,
66,Ethiopia,ETH,Africa,3,117.9,26,55,28,52,38,23.3,0.8,SHE-ETH,2025,false,
67,Nigeria,NGA,Africa,3,213.4,28,60,30,52,48,23.2,0.8,SHE-NGA,2025,false,
68,Ivory Coast,CIV,Africa,3,26.4,26,58,28,50,40,23.2,0.8,SHE-CIV,2025,false,
69,Mozambique,MOZ,Africa,3,32.2,28,58,28,52,46,22.8,0.8,SHE-MOZ,2025,false,
70,Pakistan,PAK,Asia,3,225.2,24,50,28,62,44,22.1,0.8,SHE-PAK,2025,false,
71,Papua New Guinea,PNG,Oceania,3,9.1,26,60,28,58,60,20.8,0.8,SHE-PNG,2025,false,
72,Haiti,HTI,Caribbean,3,11.4,24,56,26,46,48,19.7,0.8,SHE-HTI,2025,false,
73,Sudan,SDN,Africa,3,44.9,16,42,20,48,36,16.4,0.8,SHE-SDN,2025,false,
74,Syria,SYR,Middle East,4,21.3,16,44,16,46,52,12.5,0.6,SHE-SYR,2025,false,
75,Mali,MLI,Africa,4,22.4,14,36,16,38,40,11.6,0.6,SHE-MLI,2025,false,
76,Chad,TCD,Africa,4,16.9,12,28,14,32,42,7.8,0.6,SHE-TCD,2025,false,
77,Niger,NER,Africa,4,25.1,10,24,12,30,36,7.0,0.6,SHE-NER,2025,false,
78,DRC,COD,Africa,4,95.9,14,38,14,36,62,6.9,0.6,SHE-COD,2025,false,
79,South Sudan,SSD,Africa,4,11.2,14,28,14,30,54,5.6,0.6,SHE-SSD,2025,false,
80,Central African Republic,CAF,Africa,4,4.8,12,30,14,32,56,5.4,0.6,SHE-CAF,2025,false,
81,Yemen,YEM,Middle East,4,33.7,10,28,12,38,56,5.0,0.6,SHE-YEM,2025,false,
82,Afghanistan,AFG,Asia,4,40.1,6,18,8,32,48,1.9,0.6,SHE-AFG,2025,false,
83,Somalia,SOM,Africa,4,17.1,8,20,10,28,58,0.6,0.6,SHE-SOM,2025,false,
