# SHEtoken WEI India States Baseline — 2025
# Women's Empowerment Index scores for 25 Indian states
# India population-weighted WEI average: 36.5
# Formula: WEI = (Empowerment x 0.25) + (Education x 0.20) + (Economic x 0.20) + (Health x 0.15) - (Crime x 0.20)
# Data sources: NCRB, DISE/UDISE+, NSSO/PLFS, NFHS-5, ECI
# Full methodology: wei-index/methodology.md
# Generated: May 2026 | shetoken.org
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,crime_penalty_score,wei_score,previous_wei_score,change,hot,verified,update_frequency,key_programs,year,notes
1,Kerala,KL,SHE-KL,South,35.0,78,94,62,88,22,59.5,57.4,2.1,true,false,annual,"Kudumbashree (1998) — 46 lakh members, Asia's largest women's SHG network",2025,Highest female literacy (95.2%). Kudumbashree integrated with half of Kerala families.
2,Goa,GA,SHE-GA,West,1.5,64,90,58,86,24,53.7,53.4,0.3,false,false,annual,Goa Mahila Aarthik Vikas Mahamandal microfinance,2025,Highest HDI in India. Strong female literacy and health outcomes.
3,Tamil Nadu,TN,SHE-TN,South,77.8,68,88,58,82,28,52.9,51.7,1.2,false,false,annual,Tamil Nadu Corporation for Development of Women; Uzhavar Sandhai women vendors,2025,Strong reservation in panchayats. Above-average female literacy at 73.9%.
4,Mizoram,MZ,SHE-MZ,Northeast,1.3,58,90,50,80,18,50.9,50.4,0.5,false,false,annual,Mizoram Women's Commission; Young Mizo Association women's wing,2025,Highest female literacy in Northeast (89.4%). Low crime rate.
5,Meghalaya,ML,SHE-ML,Northeast,3.4,60,82,52,76,22,48.8,48.0,0.8,false,false,annual,Meghalaya Livelihoods and Access to Markets (MLAM) women SHGs,2025,Matrilineal society (Khasi and Jaintia tribes). Women own property and pass family name — one of India's most gender-equal cultures.
6,Himachal Pradesh,HP,SHE-HP,North,7.5,58,86,50,80,26,48.5,48.4,0.1,false,false,annual,HP State Women's Commission; women-led MGNREGA groups,2025,High female literacy (76.6%). Strong panchayat women's reservation.
7,Telangana,TS,SHE-TS,South,37.4,62,78,52,76,34,46.1,46.1,0.0,false,false,annual,Stree Nidhi Credit Cooperative; Mission Bhagiratha women SHGs,2025,Strong SHG movement inherited from Andhra Pradesh bifurcation.
8,Andhra Pradesh,AP,SHE-AP,South,53.9,60,76,54,74,32,45.7,45.7,0.0,false,false,annual,SERP (Society for Elimination of Rural Poverty); Velugu/IKP program,2025,"pioneered SHG-bank linkage model, scaled nationally as NRLM."
9,Karnataka,KA,SHE-KA,South,67.6,60,78,54,76,36,45.6,45.6,0.0,false,false,annual,Stree Shakti SHG program; Karnataka Mahila Abhivrudhi Yojana,2025,"Mysuru, Dharwad districts show strong women's enterprise activity."
10,Manipur,MN,SHE-MN,Northeast,3.2,56,80,52,72,28,45.6,44.9,0.7,false,false,annual,Ima Keithel (Mothers' Market) — world's largest all-women market,2025,Unique matrilineal trading traditions. Ima Keithel in Imphal is an extraordinary example of women's economic autonomy.
11,Gujarat,GJ,SHE-GJ,West,63.9,52,78,54,74,28,44.9,44.0,0.9,false,false,annual,"SEWA (Self Employed Women's Association) — 3.78M members, 20 states; SEWA Bank (1974) — pioneered global microfinance",2025,SEWA founded here in 1972. One of world's most influential women's labour organisations. Strong women's enterprise and cooperative sector.
12,Uttarakhand,UK,SHE-UK,North,11.3,54,82,46,76,30,44.5,44.5,-0.0,false,false,annual,Mahila Mangal Dal forest groups; Van Panchayats women leaders,2025,Women lead forest governance. Above-average literacy for hill state.
13,Maharashtra,MH,SHE-MH,West,124.7,56,80,54,74,44,43.1,41.7,1.4,false,false,annual,Mann Deshi Bank (100K+ women); Mahila Arthik Vikas Mahamandal (MAVIM); Pune District Women's Enterprise program,2025,Strong urban women's enterprise ecosystem. Mann Deshi Bank pioneered rural women's banking. Mumbai has India's highest women's workforce.
14,Punjab,PB,SHE-PB,North,30.1,50,78,48,76,32,42.7,42.8,-0.1,false,false,annual,Punjab Women Development Corporation; ATMA women farmer groups,2025,Improving female literacy. Strong women's panchayat representation.
15,Delhi,DL,SHE-DL,North,20.7,54,84,52,78,62,40.0,40.3,-0.3,false,false,annual,Delhi Mahila Kosh microfinance; Mahila Panchayat scheme,2025,High urban crime rate pulls score down significantly despite strong education.
16,West Bengal,WB,SHE-WB,East,99.6,52,74,46,70,42,39.1,35.7,3.4,true,false,annual,"Lakshmi Bhandar (24.1M), Kanyashree (10M girls, UNESCO prize), Rupashree (2.3M), Swasthya Sathi (2.42M)",2025,Fastest-improving state. Lakshmi Bhandar is world's largest women's direct cash transfer. Kanyashree won UN Public Service Award.
17,Odisha,OD,SHE-OD,East,46.4,48,70,40,66,38,36.3,36.6,-0.3,false,false,annual,Mission Shakti SHG network — 70 lakh women members,2025,Mission Shakti is one of India's largest state SHG programs.
18,Chhattisgarh,CG,SHE-CG,Central,29.4,48,68,38,62,42,34.1,34.4,-0.3,false,false,annual,Chhattisgarh Women's Self Help Group Mission; tribal women's cooperatives,2025,Strong tribal women's forest rights movement. Above-average panchayat representation for women.
19,Assam,AS,SHE-AS,Northeast,35.6,44,70,38,62,44,33.1,33.5,-0.4,false,false,annual,Assam Mahila Samakhya; tea garden women's cooperatives,2025,High MMR remains a challenge. Tea garden workers face economic vulnerability.
20,Rajasthan,RJ,SHE-RJ,West,81.0,46,62,38,64,40,33.1,31.3,1.8,true,false,annual,"Educate Girls (6.7M beneficiaries, 380K+ girls enrolled); Rajasthan Gramin Aajeevika Vikas Parishad SHGs",2025,Educate Girls has transformed female enrollment in rural Rajasthan. Child marriage remains a challenge despite declining rates.
21,Haryana,HR,SHE-HR,North,28.9,42,72,44,66,58,32.0,31.4,0.6,false,false,annual,Mahila Samridhi Yojana; Beti Bachao Beti Padhao (origin state),2025,Lowest sex ratio at birth in India (historically). Active Beti Bachao program has improved ratio from 832 to 916 per 1000 male births.
22,Madhya Pradesh,MP,SHE-MP,Central,85.4,44,64,36,60,46,30.8,31.2,-0.4,false,false,annual,Educate Girls (operates in MP); Tejaswini Rural Women's Empowerment,2025,Among India's highest rape reporting rates (NCRB). Educate Girls active in Rajasthan and MP.
23,Jharkhand,JH,SHE-JH,East,38.6,42,62,34,58,40,30.4,30.8,-0.4,false,false,annual,Jharkhand State Livelihood Promotion Society (JSLPS) women SHGs,2025,Large tribal population. Women's forest rights and land ownership remain significant challenges.
24,Bihar,BR,SHE-BR,East,128.5,36,58,28,54,36,27.1,27.9,-0.8,false,false,annual,"JEEViKA — 1.04M SHGs, 34,000+ villages, ₹11,000+ crore bank credit; Mukhyamantri Kanya Utthan Yojana (girl child incentive scheme)",2025,"JEEViKA is India's most successful rural livelihood program, scaled nationally as NRLM. Bihar has lowest female LFPR in India (4-6%) but JEEViKA is transforming economic outcomes at scale."
25,Uttar Pradesh,UP,SHE-UP,North,241.1,34,58,28,54,52,23.4,23.8,-0.4,false,false,annual,UP State Rural Livelihoods Mission (UPSRLM) SHGs; Mahila Shakti Kendras (one-stop centres),2025,India's most populous state. High crime rate and low female literacy drive score down. UPSRLM has 9M+ SHG members — significant scale.
