# SHEtoken WEI Baseline Data v3.0 — 2025
# Women's Empowerment Index — 8-pillar formula
# Countries scored: 83
# Global WEI 2025 (population-weighted): 56.0
#
# Formula:
# WEI = (Empowerment x 0.15) + (Education x 0.12)
#     + (Economic x 0.12) + (Health x 0.12)
#     + (Bodily Autonomy x 0.15) + (Safety & Justice x 0.14)
#     + (Dignity & Welfare x 0.10) + (Digital & Social x 0.10)
#     - (Violence Penalty x 0.10)
#
# Full methodology: wei-index/methodology.md
# Data sources: data/sources.md
# Generated: May 2026 | shetoken.org | WEI v3.0
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes
1,Iceland,ISL,Europe,1,0.4,95,98,88,97,96,92,92,95,8,93.4,1.0,SHE-ISL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
2,Norway,NOR,Europe,1,5.4,93,97,86,98,95,91,91,94,8,92.4,1.0,SHE-NOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
3,Finland,FIN,Europe,1,5.5,92,98,85,97,94,90,90,93,8,91.6,1.0,SHE-FIN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
4,Sweden,SWE,Europe,1,10.4,91,97,87,97,95,89,91,94,10,91.6,1.0,SHE-SWE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
5,Denmark,DNK,Europe,1,5.9,89,96,85,96,93,88,90,92,9,90.2,1.0,SHE-DNK,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
6,New Zealand,NZL,Oceania,1,5.1,88,97,83,96,92,87,88,90,13,88.8,1.0,SHE-NZL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
7,Netherlands,NLD,Europe,1,17.5,84,96,82,97,90,85,88,90,12,87.6,1.0,SHE-NLD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
8,Switzerland,CHE,Europe,1,8.7,83,96,82,97,89,84,88,88,10,87.2,1.0,SHE-CHE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
9,Canada,CAN,N. America,1,38.2,85,97,80,96,91,84,87,90,14,87.2,1.0,SHE-CAN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
10,Germany,DEU,Europe,1,83.2,84,95,81,95,90,85,87,89,12,86.9,1.0,SHE-DEU,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
11,Ireland,IRL,Europe,1,5.1,82,97,80,97,88,84,87,88,11,86.5,1.0,SHE-IRL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
12,Australia,AUS,Oceania,1,25.9,82,96,79,96,90,83,86,88,16,85.7,1.0,SHE-AUS,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
